  
       XFOIL         Version 6.97
  
 Calculated polar for: NACA 3415                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.350     Re =     0.250 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
 -20.000  -0.3542   0.20132   0.19782  -0.0179   1.0000   0.0392
 -19.000  -0.3367   0.19209   0.18857  -0.0229   1.0000   0.0422
 -18.000  -0.3204   0.18326   0.17972  -0.0276   1.0000   0.0461
 -16.000  -0.2997   0.16722   0.16366  -0.0366   1.0000   0.0551
 -14.000  -0.3046   0.15080   0.14723  -0.0440   1.0000   0.0659
 -13.000  -0.3048   0.13947   0.13593  -0.0463   1.0000   0.0721
 -12.000  -0.3433   0.12892   0.12518  -0.0423   1.0000   0.0747
 -11.000  -0.3405   0.11516   0.11152  -0.0457   1.0000   0.0813
 -10.000  -0.4541   0.08143   0.07792  -0.0572   1.0000   0.0588
  -9.000  -0.7174   0.03957   0.03499  -0.0766   0.9868   0.0558
  -8.000  -0.6262   0.02862   0.02272  -0.0824   0.9626   0.0632
  -7.000  -0.4782   0.02241   0.01562  -0.0892   0.9461   0.0759
  -6.000  -0.3365   0.01876   0.01153  -0.0921   0.9236   0.0948
  -5.000  -0.2058   0.01617   0.00887  -0.0925   0.8967   0.1230
  -4.000  -0.0858   0.01423   0.00700  -0.0907   0.8621   0.1665
  -3.000   0.0315   0.01286   0.00571  -0.0884   0.8200   0.2345
  -2.000   0.1462   0.01190   0.00490  -0.0860   0.7707   0.3334
  -1.000   0.2561   0.01094   0.00447  -0.0829   0.7195   0.5270
   0.000   0.3587   0.01043   0.00465  -0.0772   0.6689   0.7899
   1.000   0.4889   0.01092   0.00509  -0.0763   0.6227   0.9465
   2.000   0.6929   0.01169   0.00546  -0.0926   0.5771   0.9995
   3.000   0.7840   0.01227   0.00584  -0.0870   0.5404   1.0000
   4.000   0.8786   0.01307   0.00644  -0.0813   0.5056   1.0000
   5.000   0.9734   0.01398   0.00730  -0.0754   0.4684   1.0000
   6.000   1.0681   0.01500   0.00829  -0.0693   0.4278   1.0000
   7.000   1.1540   0.01614   0.00947  -0.0616   0.3807   1.0000
   8.000   1.2198   0.01774   0.01108  -0.0508   0.3267   1.0000
   9.000   1.2678   0.02058   0.01389  -0.0390   0.2650   1.0000
  10.000   1.2973   0.02556   0.01882  -0.0282   0.2009   1.0000
  11.000   1.3061   0.03352   0.02675  -0.0198   0.1499   1.0000
  12.000   1.3061   0.04385   0.03721  -0.0147   0.1161   1.0000
  13.000   1.3027   0.05577   0.04933  -0.0122   0.0947   1.0000
  14.000   1.3012   0.06838   0.06217  -0.0112   0.0801   1.0000
  15.000   1.3034   0.08104   0.07500  -0.0111   0.0697   1.0000
  16.000   1.2953   0.09613   0.09058  -0.0136   0.0619   1.0000
  17.000   1.2756   0.11385   0.10879  -0.0194   0.0564   1.0000
  18.000   1.2496   0.13390   0.12927  -0.0292   0.0522   1.0000
  20.000   1.0173   0.23921   0.23547  -0.0981   0.0584   1.0000
