  
       XFOIL         Version 6.97
  
 Calculated polar for: NACA 3415                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.250     Re =     0.250 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
 -20.000  -0.5951   0.22779   0.22382   0.0132   1.0000   0.0369
 -19.000  -0.5574   0.21585   0.21189   0.0052   1.0000   0.0400
 -18.000  -0.5255   0.20261   0.19867  -0.0040   1.0000   0.0439
 -17.000  -0.4873   0.19071   0.18679  -0.0105   1.0000   0.0475
 -15.000  -0.4238   0.16505   0.16119  -0.0244   1.0000   0.0568
 -14.000  -0.4020   0.15114   0.14732  -0.0316   1.0000   0.0626
 -13.000  -0.3791   0.13812   0.13435  -0.0370   1.0000   0.0692
 -12.000  -0.3640   0.12444   0.12074  -0.0417   1.0000   0.0751
 -11.000  -0.3855   0.10702   0.10344  -0.0492   1.0000   0.0826
 -10.000  -0.8590   0.03973   0.03484  -0.0607   0.9996   0.0507
  -9.000  -0.7566   0.02958   0.02336  -0.0683   0.9824   0.0570
  -8.000  -0.6216   0.02410   0.01709  -0.0744   0.9656   0.0666
  -7.000  -0.4728   0.02048   0.01320  -0.0812   0.9487   0.0806
  -6.000  -0.3257   0.01763   0.01024  -0.0869   0.9306   0.1020
  -5.000  -0.1973   0.01543   0.00809  -0.0884   0.9060   0.1338
  -4.000  -0.0799   0.01372   0.00649  -0.0874   0.8745   0.1829
  -3.000   0.0320   0.01247   0.00540  -0.0855   0.8343   0.2567

